uid,points,goal_closeness,activities,unique_activities,average_activities_per_day,supports,reactions,chats,view_challenge,view_activities,view_newsfeed,view_team,view_profile,view_friend,philanthropist,socialiser,free_spirit,achiever,disruptor,player
1,0.125,0.394,0.084,0.400,0.023,0.000,0.000,0.000,0.025,0.446,0.529,0.000,0.000,0.000,0.958,0.708,0.875,1.000,0.708,0.833
2,0.059,0.833,0.019,0.100,0.025,0.000,0.000,0.000,0.048,0.760,0.178,0.000,0.014,0.000,0.957,0.913,1.000,0.957,0.957,0.870
3,0.082,0.602,0.103,0.300,0.030,0.000,0.000,0.000,0.158,0.389,0.401,0.004,0.045,0.004,0.958,0.792,1.000,0.625,0.958,0.458
4,0.111,0.442,0.258,0.400,0.062,0.006,0.000,0.000,0.088,0.222,0.613,0.004,0.065,0.008,1.000,1.000,1.000,1.000,1.000,1.000
5,0.116,0.424,0.090,0.400,0.040,0.018,1.000,0.000,0.286,0.272,0.388,0.000,0.054,0.000,0.917,1.000,0.917,0.875,0.667,0.958
6,0.012,0.000,0.006,0.200,0.011,0.000,0.000,0.000,0.211,0.316,0.263,0.211,0.000,0.000,0.864,0.864,1.000,0.909,0.864,0.682
7,0.013,0.000,0.006,0.200,0.017,0.000,0.000,0.000,0.333,0.190,0.286,0.095,0.095,0.000,0.929,0.893,1.000,0.643,0.821,0.750
8,0.673,0.073,0.823,0.600,0.149,0.000,0.056,0.500,0.102,0.458,0.385,0.020,0.017,0.017,1.000,0.880,0.960,0.880,0.720,0.760
9,0.122,0.403,0.061,0.500,0.032,0.006,0.000,0.167,0.160,0.472,0.330,0.028,0.009,0.000,0.955,0.955,1.000,1.000,0.818,0.909
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
11,0.112,0.439,0.190,0.300,1.000,0.000,0.000,0.000,0.000,0.385,0.615,0.000,0.000,0.000,1.000,0.741,0.556,0.593,0.630,0.630
12,0.074,0.667,0.145,0.400,0.064,0.030,0.000,0.500,0.148,0.328,0.393,0.115,0.016,0.000,0.840,1.000,1.000,0.880,0.720,0.840
13,0.230,0.214,0.171,0.600,0.047,0.012,0.000,0.167,0.067,0.537,0.360,0.013,0.023,0.000,1.000,0.875,0.833,0.833,0.500,0.958
14,0.456,0.108,0.445,0.800,0.084,0.012,0.000,0.000,0.128,0.416,0.443,0.009,0.004,0.000,1.000,0.875,0.958,0.958,0.875,0.875
15,0.085,0.581,0.077,0.600,0.041,0.000,0.000,0.000,0.052,0.505,0.423,0.010,0.000,0.010,1.000,1.000,0.926,0.926,0.370,0.889
16,0.180,0.273,0.303,0.400,0.057,0.006,0.056,0.000,0.004,0.649,0.317,0.006,0.014,0.009,1.000,1.000,0.913,0.957,0.565,0.870
17,0.051,0.962,0.032,0.300,0.015,0.000,0.000,0.000,0.308,0.308,0.321,0.038,0.026,0.000,0.923,0.846,1.000,0.962,0.654,0.923
18,0.009,0.000,0.010,0.300,0.025,0.000,0.000,0.000,0.038,0.385,0.577,0.000,0.000,0.000,1.000,0.875,0.750,0.750,0.583,0.917
19,0.269,0.182,0.223,0.600,0.078,0.012,0.056,0.000,0.018,0.430,0.498,0.018,0.018,0.018,1.000,1.000,0.958,1.000,0.458,0.958
20,0.335,0.147,0.258,0.800,0.062,0.036,0.111,0.000,0.161,0.381,0.416,0.024,0.008,0.011,0.958,0.875,1.000,0.667,0.708,0.667
21,0.171,0.287,0.113,0.500,0.025,0.095,0.000,0.000,0.168,0.254,0.351,0.127,0.072,0.027,1.000,0.947,1.000,0.789,0.737,0.789
22,0.036,0.000,0.039,0.500,0.034,0.000,0.000,0.000,0.029,0.343,0.410,0.152,0.057,0.010,1.000,0.923,1.000,0.808,0.654,0.808
23,0.031,0.000,0.023,0.300,0.017,0.000,0.000,0.000,0.100,0.518,0.309,0.027,0.027,0.018,0.864,0.682,0.955,1.000,0.818,0.818
24,0.239,0.206,0.223,0.600,0.065,0.024,0.000,0.000,0.104,0.389,0.407,0.090,0.009,0.000,1.000,1.000,1.000,0.950,0.850,0.800
25,0.056,0.877,0.029,0.300,0.011,0.201,0.000,0.000,0.224,0.306,0.408,0.061,0.000,0.000,0.893,1.000,0.929,0.786,0.786,0.679
26,0.104,0.472,0.077,0.300,0.037,0.000,0.000,0.000,0.016,0.465,0.488,0.016,0.016,0.000,1.000,0.950,0.900,1.000,0.750,0.900
27,0.210,0.234,0.226,0.400,0.198,0.000,0.000,0.000,0.167,0.227,0.439,0.061,0.106,0.000,0.893,0.679,0.893,0.821,0.500,1.000
28,0.023,0.000,0.013,0.300,0.023,0.006,0.000,0.000,0.079,0.447,0.342,0.026,0.105,0.000,0.957,0.739,1.000,1.000,0.739,0.870
29,0.009,0.000,0.010,0.300,0.025,0.024,0.000,0.000,0.143,0.476,0.262,0.071,0.024,0.024,0.630,0.815,0.926,0.815,0.630,1.000
30,0.052,0.943,0.029,0.400,0.015,0.000,0.000,0.000,0.082,0.353,0.388,0.035,0.094,0.047,0.920,0.800,0.920,1.000,1.000,0.560
31,0.075,0.658,0.158,0.500,0.166,0.000,0.000,0.000,0.070,0.488,0.287,0.078,0.062,0.016,1.000,1.000,1.000,0.852,0.593,0.889
32,0.282,0.174,0.174,0.600,0.070,0.012,0.000,0.000,0.027,0.504,0.458,0.008,0.004,0.000,1.000,0.920,0.920,0.800,0.720,0.960
33,0.202,0.244,0.100,0.500,0.035,0.012,0.000,0.000,0.023,0.409,0.455,0.045,0.038,0.030,0.917,0.917,0.792,0.833,0.542,1.000
34,0.765,0.064,0.626,1.000,0.126,1.000,0.111,1.000,0.252,0.303,0.403,0.016,0.014,0.011,1.000,0.769,0.923,0.962,1.000,0.962
35,1.000,0.049,0.777,0.900,0.157,0.112,0.278,0.833,0.364,0.268,0.347,0.014,0.005,0.002,1.000,1.000,1.000,0.958,0.417,0.667
36,0.003,0.000,0.003,0.100,0.004,0.000,0.000,0.000,0.133,0.300,0.300,0.133,0.033,0.100,0.962,0.846,1.000,0.654,0.615,0.808
37,0.049,1.000,0.052,0.400,0.027,0.012,0.056,0.000,0.155,0.340,0.320,0.021,0.041,0.124,0.920,0.840,1.000,0.760,0.640,0.520
38,0.005,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.000,0.600,0.400,0.000,0.000,0.000,1.000,0.875,0.917,0.875,0.625,0.625
39,0.189,0.260,0.142,0.400,0.075,0.083,0.000,0.000,0.066,0.432,0.432,0.044,0.022,0.005,0.957,1.000,0.957,0.870,0.609,0.783
40,0.121,0.407,0.390,0.200,0.205,0.024,0.000,0.000,0.118,0.255,0.471,0.059,0.059,0.039,0.900,0.900,1.000,1.000,0.700,1.000
41,0.054,0.909,0.094,0.400,0.038,0.024,0.000,0.000,0.065,0.411,0.495,0.009,0.019,0.000,0.913,1.000,1.000,0.957,0.696,1.000
42,0.191,0.258,0.261,0.600,0.092,0.000,0.000,0.333,0.039,0.537,0.372,0.052,0.000,0.000,1.000,1.000,1.000,0.917,0.708,0.958
43,0.101,0.485,0.071,0.500,0.027,0.107,0.056,0.000,0.093,0.367,0.460,0.047,0.013,0.020,0.577,0.577,1.000,0.577,0.808,0.731
44,0.406,0.121,1.000,0.600,0.309,0.000,0.000,0.000,0.115,0.422,0.451,0.005,0.006,0.000,0.920,0.800,1.000,0.960,0.440,0.720
45,0.324,0.152,0.242,0.600,0.079,0.000,0.000,0.000,0.175,0.464,0.354,0.007,0.000,0.000,0.917,1.000,0.667,0.792,0.417,0.750
46,0.012,0.000,0.010,0.200,0.051,0.006,0.000,0.000,0.000,0.385,0.462,0.154,0.000,0.000,1.000,0.833,0.917,0.917,0.333,0.500
47,0.020,0.000,0.045,0.300,0.030,0.006,0.056,0.000,0.071,0.314,0.486,0.043,0.086,0.000,1.000,0.857,1.000,1.000,1.000,1.000
48,0.036,0.000,0.052,0.500,0.027,0.000,0.000,0.000,0.327,0.320,0.286,0.061,0.000,0.007,1.000,0.852,0.667,0.889,0.519,0.556
